input_text,output_json
I work at Target from 2 PM to 10 PM Monday through Friday. Need all my classes in the morning. Looking for ENC1101 and MAT1033.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
Only available Tuesdays and Thursdays. Prefer afternoon classes. Need to take PSY2012 and SPC1017.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""4:59""}]}"
I'm a single mom and can only do classes while my kids are in school. Nothing before 9 AM or after 2 PM please. Need AMH2020.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""09:00"", ""end"": ""14:00""}]}"
No Friday classes. I commute an hour each way so I'd like to stack everything on two days if possible.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Sat""], ""time_blocks"": []}"
I work nights so no classes before noon. Prefer online if available. Looking for CGS1060 and ENC1102.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""12:00"", ""end"": ""22:00""}]}"
Please schedule me for MWF mornings only. I have a part-time job in the afternoons.,"{""preferred_days"": [""Mon"", ""Wed"", ""Fri""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""11:59""}]}"
"I need MAC1105, CHM1045, and BSC1010. Prefer everything before 3 PM. No online classes please.","{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""14:59""}]}"
Tuesday/Thursday schedule preferred. Nothing earlier than 11 AM. I need STA2023.,"{""preferred_days"": [""Tue"", ""Thu""], ""time_blocks"": [{""start"": ""11:00"", ""end"": ""22:00""}]}"
Working full-time so evenings and weekends only. Looking for online sections of ENC1101 and CGS1060.,"{""preferred_days"": [""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""17:00"", ""end"": ""22:00""}]}"
No classes after 4 PM. I coach little league. Need COP2220 and MAC2311.,"{""preferred_days"": [""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""], ""time_blocks"": [{""start"": ""07:00"", ""end"": ""15:59""}]}"
